objectid,labid,sampleid,sizefraction,pickingprep,comments,time,magnification
55,LabC,LabC_DW_1,212-500 um,Dry,,3.0,40.0
56,LabC,LabC_DW_1,>500 um,Dry,,3.0,40.0
188,LabB,LabB_CW_1,>500 um,Dry,,1.5,200.0
189,LabB,LabB_CW_1,212-500 um,Dry,,2.0,200.0
190,LabB,LabB_CW_1,20-212 um,Dry,,2.5,200.0
191,LabB,LabB_CW_2,>500 um,Dry,,1.0,200.0
192,LabB,LabB_CW_2,212-500 um,Dry,,2.5,200.0
193,LabB,LabB_CW_2,20-212 um,Dry,,2.5,200.0
194,LabB,LabB_CW_3,>500 um,Dry,,3.5,200.0
195,LabB,LabB_CW_3,212-500 um,Dry,,1.5,200.0
196,LabB,LabB_CW_3,20-212 um,Dry,,2.5,200.0
197,LabB,LabB_CW_4,>500 um,Dry,,0.5,200.0
198,LabB,LabB_CW_4,212-500 um,Dry,,0.5,200.0
199,LabB,LabB_CW_4,20-212 um,Dry,,1.5,200.0
200,LabZ,LabZ_CW_1,212-500 um,Dry,,2.0,50.0
201,LabZ,LabZ_CW_1,20-212 um,Dry,,2.0,50.0
202,LabZ,LabZ_CW_1,1-20 um,Dry,,3.0,100.0
203,LabZ,LabZ_CW_2,212-500 um,Dry,,2.0,50.0
204,LabZ,LabZ_CW_2,20-212 um,Dry,,2.0,50.0
205,LabZ,LabZ_CW_2,1-20 um,Dry,,3.0,100.0
206,LabZ,LabZ_CW_3,212-500 um,Dry,,2.0,50.0
207,LabZ,LabZ_CW_3,20-212 um,Dry,,2.0,50.0
208,LabZ,LabZ_CW_3,1-20 um,Dry,,3.0,100.0
224,LabC,LabC_CW_1,20-212 um,Dry,,5.0,40.0
148,LabN,LabN_CW_1,>500 um,Dry,Range of magnifications used: 0.73-2x,0.41666667,2.0
149,LabN,LabN_CW_2,>500 um,Dry,Range of magnifications used: 0.73-2x,0.25,2.0
150,LabN,LabN_CW_3,>500 um,Dry,Range of magnifications used: 0.73-2x,0.5,2.0
151,LabN,LabN_CW_4,>500 um,Dry,Range of magnifications used: 0.73-2x,0.16666667,2.0
152,LabN,LabN_CW_1,212-500 um,Dry,Range of magnifications used: 0.73-3.2x,0.25,3.2
153,LabN,LabN_CW_2,212-500 um,Dry,Range of magnifications used: 0.73-3.2x,0.33333333,3.2
