objectid,labid,sampletype,particleid,qa_reportedimage,qa_reportedmorphology,qa_correctmorphology,qa_morphology,qa_reportedcolor,qa_correctcolor,qa_color,qa_reportedchemid,qa_correctchemid_ftir,qa_correctchemid_raman,qa_chemid,qa_particle,qa_fp,qa_comments,qa_particlenumber
1,D,SD,D_SD_1_above500_1,y,y,y,Fragment,y,y,Blue,y,NA,y,PS,y,n,NA,6
2,D,SD,D_SD_1_above500_2,y,y,y,Fragment,y,y,Blue,y,NA,y,PS,y,n,NA,6
3,D,SD,D_SD_1_above500_3,y,y,y,Fragment,y,y,Blue,y,NA,y,PS,y,n,NA,6
4,D,SD,D_SD_1_above500_4,y,y,y,Fragment,y,y,Blue,y,NA,y,PS,y,n,NA,6
5,D,SD,D_SD_1_above500_5,y,y,y,Fragment,y,y,Blue,y,NA,y,PS,y,n,NA,6
6,D,SD,D_SD_1_above500_6,y,y,y,Sphere,y,y,Green,y,NA,n,PE,y,n,NA,15
7,D,SD,D_SD_1_above500_7,y,y,y,Sphere,y,y,Green,y,NA,n,PE,y,n,NA,15
8,D,SD,D_SD_1_above500_8,y,y,y,Sphere,y,y,Green,y,NA,n,PE,y,n,NA,15
9,D,SD,D_SD_1_above500_9,y,y,y,Sphere,y,y,Green,y,NA,n,PE,y,n,NA,15
10,D,SD,D_SD_1_above500_10,y,y,y,Sphere,y,y,Green,y,NA,y,PE,y,n,NA,15
11,D,SD,D_SD_1_above500_11,y,y,y,Sphere,y,y,Green,y,NA,y,PE,y,n,NA,15
12,D,SD,D_SD_1_above500_12,y,y,y,Sphere,y,y,Green,y,NA,y,PE,y,n,NA,15
13,D,SD,D_SD_1_above500_13,y,y,y,Sphere,y,y,Green,y,NA,y,PE,y,n,NA,15
14,D,SD,D_SD_1_above500_14,y,y,y,Sphere,y,y,Green,y,NA,y,PE,y,n,NA,15
15,D,SD,D_SD_1_above500_15,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
16,D,SD,D_SD_1_above500_16,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
17,D,SD,D_SD_1_above500_17,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
18,D,SD,D_SD_1_above500_18,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
19,D,SD,D_SD_1_above500_19,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
20,D,SD,D_SD_1_above500_20,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
21,D,SD,D_SD_1_above500_21,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
22,D,SD,D_SD_1_above500_22,y,y,y,Sphere,y,y,White,y,NA,y,PE,y,n,NA,12
23,D,SD,D_SD_1_above500_23,y,y,y,Sphere,y,y,White,y,NA,n,PS,y,n,NA,4
24,D,SD,D_SD_1_above500_24,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
25,D,SD,D_SD_1_above500_25,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
26,D,SD,D_SD_1_above500_26,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
27,D,SD,D_SD_1_above500_27,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
28,D,SD,D_SD_1_above500_28,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
29,D,SD,D_SD_1_above500_29,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
30,D,SD,D_SD_1_above500_30,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
31,D,SD,D_SD_1_above500_31,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
32,D,SD,D_SD_1_above500_32,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
33,D,SD,D_SD_1_above500_33,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
34,D,SD,D_SD_1_above500_34,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
35,D,SD,D_SD_1_above500_35,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
36,D,SD,D_SD_1_above500_36,y,y,y,NA,y,n,NA,u,NA,NA,NA,n,n,NA,
37,D,SD,D_SD_1_above500_37,y,y,y,NA,y,n,NA,u,NA,NA,NA,n,n,NA,
38,D,SD,D_SD_1_above500_38,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
39,D,SD,D_SD_1_above500_39,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
40,D,SD,D_SD_1_above500_40,y,y,y,Sphere,y,y,Clear,y,NA,n,PS,y,n,NA,4
41,D,SD,D_SD_1_above500_41,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
42,D,SD,D_SD_1_above500_42,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
43,D,SD,D_SD_1_above500_43,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
44,D,SD,D_SD_1_above500_44,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
45,D,SD,D_SD_1_above500_45,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
46,D,SD,D_SD_1_above500_46,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
47,D,SD,D_SD_1_above500_47,y,y,y,NA,y,n,NA,y,NA,NA,NA,n,n,NA,
