objectid,labid,sampleid,sievemeshsize,sievediameter,filtertype,filterporesize,filterdiameter,filterholder,kohdigestiontemp,wpodigestions,samplestorage,time,comments,b1separationtime,b2separationtime,kohdigestiontime,matrix,sizefraction
175,LabN,LabN_CW_1,212,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,212-500 um
176,LabN,LabN_CW_2,212,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,212-500 um
177,LabN,LabN_CW_3,212,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,212-500 um
178,LabN,LabN_CW_4,212,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,212-500 um
60,LabC,LabC_DW_1,212,3.937 inches,NYLON,20,44,Glass,0.0,"1:5
ratio of Fe2SO4:H2O2 reached",Dry others,22.0,the size of sieve we used are 200 um and 500 um,0.0,0.0,0.0,DW,212-500 um
61,LabC,LabC_DW_1,500,3.937 inches,NYLON,20,44,Glass,0.0,"1:5
ratio of Fe2SO4:H2O2 reached",Dry others,22.0,the size of sieve we used are 200 um and 500 um,0.0,0.0,0.0,DW,>500 um
58,LabA,LabA_CW_1,500,47 mm,Anodisc,18,25,Stainless steel + Glass,-88.0,-88,">500 on stainless steel storage chambers in petri dishes, dry, < 500 on Anodisc in petri dishes, dry)",0.4,,-88.0,-88.0,-88.0,CW,18-500 um
59,LabA,LabA_CW_2,500,47 mm,Anodisc,18,25,Stainless steel + Glass,-88.0,-88,">500 on stainless steel storage chambers in petri dishes, dry, < 500 on Anodisc in petri dishes, dry)",0.4,,-88.0,-88.0,-88.0,CW,18-500 um
179,LabN,LabN_CW_1,500,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,>500 um
180,LabN,LabN_CW_2,500,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,>500 um
181,LabN,LabN_CW_3,500,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,>500 um
182,LabN,LabN_CW_4,500,3,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.08,,-88.0,-88.0,-88.0,CW,>500 um
526,LabN,LabN_CW_1,20,-88,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.17,,-88.0,-88.0,-88.0,CW,20-212 um
527,LabN,LabN_CW_2,20,-88,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.17,,-88.0,-88.0,-88.0,CW,20-212 um
528,LabN,LabN_CW_3,20,-88,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.17,,-88.0,-88.0,-88.0,CW,20-212 um
